"mohcd_development_id","development_name","marketing_address","marketing_zip_code","supervisor_district","city_analysis_marketing","planning_neighborhood","ocii_project_area","lead_agency_account_name","tenure","project_status","development_type","general_housing_program","housing_program_program_name","multiphase_or_multisite_project_name","estimated_actual_construction","total_project_units","income_restricted_resid_units","sro_units_rollup","studios_units_rollup","_1_bedroom_units_rollup","_2_bedroom_units_rollup","_3_bedroom_units_rollup","_4_bedroom_units_rollup","_5_bedroom_units_rollup","treatment_beds","senior_units_rollup","tay_units_rollup","homeless_units_rollup","losp_units_rollup","vash_units_rollup","latitude","longitude","location"
"2004-035","368 Elm Street Condominiums","368 Elm St","94102","2","Western Addition","Downtown/Civic Center","Western Addition-Area 2","SFRA","Ownership","Construction Complete","New Construction","Other Ownership Programs","Limited Equity Program",,"2007-02-02T00:00:00.000","3","3","0","0","1","2","0","0","0","0","0","0","0","0","0","37.78138004","-122.4231041","POINT (-122.4231041 37.78138004)"
"1997-005a","388 Beale","388 Beale St","94105","6","Financial District/South Beach","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program","388 Beale","2003-06-25T00:00:00.000","26","26","0","1","12","12","1","0","0","0","0","0","0","0","0","37.78772182","-122.3916983","POINT (-122.3916983 37.78772182)"
"2011-033","38 Harriet","38 Harriet St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2013-02-20T00:00:00.000","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","37.7786151","-122.4070649","POINT (-122.4070649 37.7786151)"
"2025-004","3900 Third Street","3900 3rd St","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Rental","Building Rehabilitation (Construction)","Rehabilitation","MOHCD 100% Affordable (Preservation)","Supportive Living Preservation Program",,"2026-01-20T00:00:00.000","20","20","20","0","0","0","0","0","0","0","0","20","20","0","0","37.74191119","-122.3885049","POINT (-122.3885049 37.74191119)"
"1995-006","39 Boardman Place","39 Boardman Pl","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"1996-09-23T00:00:00.000","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","37.77479406","-122.402756","POINT (-122.402756 37.77479406)"
"2013-060","400 Grove","400 Grove St","94102","5","Hayes Valley","Western Addition","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2021-11-09T00:00:00.000","4","4","0","1","2","1","0","0","0","0","0","0","0","0","0","37.77792272","-122.423303","POINT (-122.423303 37.77792272)"
"2003-002","4343 Third Street","4343 3rd St","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2008-05-13T00:00:00.000","2","2","0","0","0","0","2","0","0","0","0","0","0","0","0","37.73809262","-122.3891631","POINT (-122.3891631 37.73809262)"
"2003-020","436 Clementina","436 Clementina St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2009-05-12T00:00:00.000","3","3","0","0","0","3","0","0","0","0","0","0","0","0","0","37.78012048","-122.4048913","POINT (-122.4048913 37.78012048)"
"2013-012","450 Hayes","450 Hayes St","94102","5","Hayes Valley","Western Addition","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2016-11-28T00:00:00.000","5","5","0","0","3","2","0","0","0","0","0","0","0","0","0","37.77691767","-122.4239068","POINT (-122.4239068 37.77691767)"
"2012-020","455 Fell","455 Fell St","94102","5","Hayes Valley","Western Addition","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2020-03-16T00:00:00.000","108","108","0","1","57","42","8","0","0","0","0","0","33","33","0","37.77550552","-122.42533","POINT (-122.42533 37.77550552)"
"2013-027","462 Duboce","462 Duboce Ave","94117","8","Hayes Valley","Western Addition","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Rental Assistance Demonstration Program",,"2017-10-06T00:00:00.000","43","42","0","34","8","0","0","0","0","0","0","0","0","0","0","37.76949651","-122.4307233","POINT (-122.4307233 37.76949651)"
"2005-006","470 Clementina","470 Clementina St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2005-06-09T00:00:00.000","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","37.77957081","-122.4055965","POINT (-122.4055965 37.77957081)"
"2004-014","475 Tehama","475 Tehama St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2005-04-25T00:00:00.000","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","37.77971978","-122.4059159","POINT (-122.4059159 37.77971978)"
"1994-011","479 Natoma","479 Natoma St","94103","6","South of Market","South of Market","Not in an OCII Project Area","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1997-10-16T00:00:00.000","31","30","0","0","0","15","14","1","0","0","0","0","0","0","0","37.78042276","-122.4070358","POINT (-122.4070358 37.78042276)"
"1980-015","498 Waller","498 Waller St","94117","5","Hayes Valley","Western Addition","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"1991-07-03T00:00:00.000","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","37.77117702","-122.431724","POINT (-122.431724 37.77117702)"
"1991-006","518 Minna","518 Minna St","94103","6","South of Market","South of Market","Not in an OCII Project Area","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1994-12-23T00:00:00.000","25","24","0","0","0","12","12","0","0","0","0","0","0","0","0","37.78040491","-122.4085547","POINT (-122.4085547 37.78040491)"
"2002-014","525 Gough","525 Gough St","94102","5","Hayes Valley","Western Addition","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2006-01-01T00:00:00.000","3","3","0","0","0","0","3","0","0","0","0","0","0","0","0","37.77834874","-122.4233972","POINT (-122.4233972 37.77834874)"
"2023-020","528 Natoma","528 Natoma St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"2024-02-23T00:00:00.000","4","4","0","0","0","4","0","0","0","0","0","0","0","0","0","37.77973381","-122.4084709","POINT (-122.4084709 37.77973381)"
"2013-061","534 - 536 Natoma","534-536 Natoma St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"2020-06-05T00:00:00.000","5","5","0","0","4","1","0","0","0","0","0","0","0","0","0","37.7796377","-122.4085943","POINT (-122.4085943 37.7796377)"
"2011-021","537 Natoma","537 Natoma St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2013-04-15T00:00:00.000","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","37.77938336","-122.4084087","POINT (-122.4084087 37.77938336)"
"2022-013","555-585 Bryant","555 Bryant St","94107","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2025-05-01T00:00:00.000","71","71","0","16","26","29","0","0","0","0","0","0","0","0","0","37.77994629","-122.3969064","POINT (-122.3969064 37.77994629)"
"1984-013","560 Presidio","560 Presidio Ave","94115","2","Presidio Heights","Western Addition","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"1991-03-04T00:00:00.000","8","1","0","0","1","0","0","0","0","0","0","0","0","0","0","37.78651813","-122.4463795","POINT (-122.4463795 37.78651813)"
"2020-026","566 Natoma","566 Natoma St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"2023-01-30T00:00:00.000","5","5","0","0","4","1","0","0","0","0","0","0","0","0","0","37.77911154","-122.4092698","POINT (-122.4092698 37.77911154)"
"2008-029","570 Jessie","570 Jessie St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2017-08-21T00:00:00.000","6","6","0","4","2","0","0","0","0","0","0","0","0","0","0","37.78075066","-122.4102158","POINT (-122.4102158 37.78075066)"
"2011-023","574 Natoma","574 Natoma St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2012-01-01T00:00:00.000","2","2","0","1","1","0","0","0","0","0","0","0","0","0","0","37.77901435","-122.4093946","POINT (-122.4093946 37.77901435)"
"2005-021","5800 Third","5800 3rd St","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2010-09-20T00:00:00.000","17","17","0","0","4","9","4","0","0","0","0","0","0","0","0","37.72541336","-122.3946403","POINT (-122.3946403 37.72541336)"
"2011-003","600 7th St (Land Dedication Site)","600 7th St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program","600 7th St (Land Dedication Site)","2025-09-04T00:00:00.000","220","220","0","100","23","82","15","0","0","0","0","0","120","120","0","37.7728343","-122.4031535","POINT (-122.4031535 37.7728343)"
"2014-002","626 Mission Bay Family Housing","626 Mission Bay Blvd North","94158","6","Mission Bay","South of Market","Mission Bay","OCII","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program","Mission Bay South","2018-10-15T00:00:00.000","144","143","0","0","53","47","43","0","0","0","0","0","29","17","0","37.77110713","-122.3916814","POINT (-122.3916814 37.77110713)"
"1983-008","65 Hermann","65 Herman St","94102","8","Hayes Valley","Western Addition","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"1983-07-21T00:00:00.000","12","2","0","0","0","2","0","0","0","0","0","0","0","0","0","37.77048825","-122.4261","POINT (-122.4261 37.77048825)"
"2014-030","682 Page","682 Page St","94117","5","Hayes Valley","Western Addition","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2016-12-30T00:00:00.000","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","37.77301236","-122.4318313","POINT (-122.4318313 37.77301236)"
"1988-009","682 Waller","682 Waller St","94117","5","Haight Ashbury","Western Addition","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,,"1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","37.7707397","-122.4348066","POINT (-122.4348066 37.7707397)"
"1993-001","68 McCoppin","68 McCoppin St","94103","6","Mission","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"1996-08-14T00:00:00.000","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","37.77185926","-122.421808","POINT (-122.421808 37.77185926)"
"2004-010","6 Mint Plaza","6 Mint Plz","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Adaptive Reuse","Inclusionary Housing","Inclusionary Housing Program",,,"3","3","0","0","3","0","0","0","0","0","0","0","0","0","0","37.78296113","-122.4077041","POINT (-122.4077041 37.78296113)"
"1981-004","70 Moss","70 Moss St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2018-05-30T00:00:00.000","5","5","0","0","4","0","0","1","0","0","0","0","0","0","0","37.77746582","-122.4078933","POINT (-122.4078933 37.77746582)"
"2013-017","72 Townsend","72 Townsend St","94107","6","Financial District/South Beach","South of Market","Rincon Point-South Beach","OCII","Ownership","Construction Complete","New Construction","Other Ownership Programs","Limited Equity Program",,"2016-12-06T00:00:00.000","7","7","0","0","3","4","0","0","0","0","0","0","0","0","0","37.78107243","-122.3901029","POINT (-122.3901029 37.78107243)"
"2015-025","750 Harrison Street","750 Harrison St","94107","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2018-10-01T00:00:00.000","9","9","9","0","0","0","0","0","0","0","0","0","0","0","0","37.78177256","-122.3985417","POINT (-122.3985417 37.78177256)"
"2007-006","75 Moss","75 Moss St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2008-05-15T00:00:00.000","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","37.77754851","-122.4075457","POINT (-122.4075457 37.77754851)"
"2003-024","776 Tehama","776 Tehama St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2006-08-08T00:00:00.000","2","2","0","0","1","1","0","0","0","0","0","0","0","0","0","37.77490226","-122.4123041","POINT (-122.4123041 37.77490226)"
"2004-022","77 Bluxome","77 Bluxome St","94107","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2008-07-23T00:00:00.000","10","10","0","10","0","0","0","0","0","0","0","0","0","0","0","37.77633641","-122.3971657","POINT (-122.3971657 37.77633641)"
"2005-001","788 Minna","788 Minna St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2011-07-28T00:00:00.000","2","2","0","0","2","0","0","0","0","0","0","0","0","0","0","37.77602977","-122.413961","POINT (-122.413961 37.77602977)"
"2017-038","78 Haight St (Parcel U)","78 Haight St","94102","6","Hayes Valley","Western Addition","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2025-12-04T00:00:00.000","64","64","0","58","5","0","1","0","0","0","0","0","32","32","0","37.77325451","-122.4234438","POINT (-122.4234438 37.77325451)"
"1994-001","81 Lansing Street","81 Lansing St","94105","6","Financial District/South Beach","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"1996-02-12T00:00:00.000","3","3","0","0","3","0","0","0","0","0","0","0","0","0","0","37.78566677","-122.3942429","POINT (-122.3942429 37.78566677)"
"2025-003","835 Turk","835 Turk St","94102","2","Western Addition","Downtown/Civic Center","Western Addition-Area 2","MOHCD/HSH","Rental","Building Rehabilitation (Construction)","Rehabilitation","MOHCD 100% Affordable (Preservation)","HSH Homekey",,"2027-02-17T00:00:00.000","106","106","106","0","0","0","0","0","0","0","0","0","106","106","0","37.78155809","-122.4229061","POINT (-122.4229061 37.78155809)"
"2013-003","855 Brannan","855 Brannan St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2018-12-07T00:00:00.000","55","55","0","11","21","22","1","0","0","0","0","0","0","0","0","37.77197321","-122.4042439","POINT (-122.4042439 37.77197321)"
"2009-014","870 Harrison","870 Harrison St","94107","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2015-01-08T00:00:00.000","4","4","0","0","0","4","0","0","0","0","0","0","0","0","0","37.7797426","-122.4012963","POINT (-122.4012963 37.7797426)"
"2003-007","888 7th Street","888 7th St","94107","6","Mission Bay","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2008-07-11T00:00:00.000","170","170","0","12","51","77","29","1","0","0","0","0","0","0","0","37.77069192","-122.400497","POINT (-122.400497 37.77069192)"
"2016-019","88 At the Park","88 Arkansas St","94107","10","Mission Bay","Potrero Hill","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2022-04-01T00:00:00.000","25","25","0","3","12","10","0","0","0","0","0","0","0","0","0","37.76519949","-122.398836","POINT (-122.398836 37.76519949)"
"2003-008","88 Townsend","88 Townsend St","94107","6","Financial District/South Beach","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2018-11-02T00:00:00.000","13","13","0","5","7","1","0","0","0","0","0","0","0","0","0","37.78081991","-122.3904134","POINT (-122.3904134 37.78081991)"
"2004-005","8 McLea Court","8 McLea Ct","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2007-03-07T00:00:00.000","3","3","2","1","0","0","0","0","0","0","0","0","0","0","0","37.77236901","-122.4084199","POINT (-122.4084199 37.77236901)"
"2012-025","8 Octavia","8 Octavia Blvd","94102","6","Hayes Valley","Western Addition","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2014-10-01T00:00:00.000","7","7","0","2","0","5","0","0","0","0","0","0","0","0","0","37.77258668","-122.4233312","POINT (-122.4233312 37.77258668)"
"2003-022","901 Bayshore Blvd","901 Bayshore Blvd","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2003-09-15T00:00:00.000","4","4","0","0","4","0","0","0","0","0","0","0","0","0","0","37.73263313","-122.4041499","POINT (-122.4041499 37.73263313)"
"2019-028","921 Howard","921 Howard St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2024-04-04T00:00:00.000","201","201","0","33","82","81","5","0","0","0","0","0","0","0","0","37.78098432","-122.4052828","POINT (-122.4052828 37.78098432)"
"2013-020","939-951 Eddy","939 Eddy St","94109","2","Western Addition","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Rental Assistance Demonstration Program",,"2017-04-11T00:00:00.000","63","62","0","36","1","22","3","0","0","0","0","0","0","0","0","37.78231591","-122.4230481","POINT (-122.4230481 37.78231591)"
"2016-012","988 Harrison","988 Harrison St","94107","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2025-02-20T00:00:00.000","12","12","0","1","6","5","0","0","0","0","0","0","0","0","0","37.77766151","-122.4041068","POINT (-122.4041068 37.77766151)"
"2014-036","99 Rausch","99 Rausch St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2017-12-07T00:00:00.000","13","13","0","1","7","5","0","0","0","0","0","0","0","0","0","37.7760815","-122.4088464","POINT (-122.4088464 37.7760815)"
"2012-013","Alchemy","200 Buchanan St","94102","8","Hayes Valley","Western Addition","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2018-01-16T00:00:00.000","50","50","0","12","23","15","0","0","0","0","0","0","0","0","0","37.77197978","-122.425499","POINT (-122.425499 37.77197978)"
"2012-001e","Alice Griffith Apartments Phase 4","2800 Arelious Walker Dr","94124","10","Bayview Hunters Point","Bayview","Candlestick Point","OCII","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","HOPE SF","Alice Griffith HOPE SF","2019-05-02T00:00:00.000","33","30","0","0","12","6","0","9","3","0","0","0","0","0","0","37.71766764","-122.3859545","POINT (-122.3859545 37.71766764)"
"2012-001a","Alice Griffith Phase 1","2600 Arelious Walker Dr","94124","10","Bayview Hunters Point","Bayview","Candlestick Point","OCII","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","HOPE SF","Alice Griffith HOPE SF","2017-10-27T00:00:00.000","94","93","0","0","23","51","7","12","0","0","0","0","0","0","0","37.71887779","-122.3848864","POINT (-122.3848864 37.71887779)"
"2012-001b","Alice Griffith Phase 2","2700 Arelious Walker Dr","94124","10","Bayview Hunters Point","Bayview","Candlestick Point","OCII","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","HOPE SF","Alice Griffith HOPE SF","2017-10-27T00:00:00.000","92","91","0","0","23","47","9","12","0","0","0","0","0","0","0","37.71826896","-122.3854389","POINT (-122.3854389 37.71826896)"
