"mohcd_development_id","development_name","marketing_address","marketing_zip_code","supervisor_district","city_analysis_marketing","planning_neighborhood","ocii_project_area","lead_agency_account_name","tenure","project_status","development_type","general_housing_program","housing_program_program_name","multiphase_or_multisite_project_name","estimated_actual_construction","total_project_units","income_restricted_resid_units","sro_units_rollup","studios_units_rollup","_1_bedroom_units_rollup","_2_bedroom_units_rollup","_3_bedroom_units_rollup","_4_bedroom_units_rollup","_5_bedroom_units_rollup","treatment_beds","senior_units_rollup","tay_units_rollup","homeless_units_rollup","losp_units_rollup","vash_units_rollup","latitude","longitude","location"
"2013-018","1001 17th Street","1001 17th St","94107","10","Potrero Hill","Potrero Hill","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2016-02-01T00:00:00.000","5","5","0","1","2","2","0","0","0","0","0","0","0","0","0","37.76516884","-122.3941457","POINT (-122.3941457 37.76516884)"
"2021-014","1005 Powell","1005 Powell St St","94108","3","Nob Hill","Nob Hill","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Big Sites Program",,"2024-04-18T00:00:00.000","64","64","64","0","0","0","0","0","0","0","0","0","0","0","0","37.7940883","-122.4097951","POINT (-122.4097951 37.7940883)"
"1991-001","100 Diana","331 Thornton Ave","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"1996-07-22T00:00:00.000","3","3","0","0","0","0","3","0","0","0","3","0","0","0","0","37.7310577","-122.3962729","POINT (-122.3962729 37.7310577)"
"1979-002","100 Parker","100 Parker Ave","94118","2","Presidio Heights","Presidio Heights","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"2018-04-20T00:00:00.000","4","3","0","1","2","0","0","0","0","0","3","0","0","0","0","37.78378924","-122.4543477","POINT (-122.4543477 37.78378924)"
"2013-058","100 Van Ness Apartments","100 Van Ness Ave","94102","6","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2019-10-03T00:00:00.000","50","50","0","6","26","18","0","0","0","0","0","0","0","0","0","37.77672111","-122.4191766","POINT (-122.4191766 37.77672111)"
"2017-003","1015 Shotwell","1015 Shotwell St","94110","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"1986-10-01T00:00:00.000","10","10","0","2","7","1","0","0","0","0","0","0","0","0","0","37.75188861","-122.4147932","POINT (-122.4147932 37.75188861)"
"1994-018","101 Valencia","101 Valencia St","94103","6","Mission","South of Market","Not in an OCII Project Area","SFRA","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","City Second Loan Program",,"1999-06-07T00:00:00.000","164","54","0","1","15","27","9","0","0","0","0","0","0","0","0","37.7714743","-122.4221655","POINT (-122.4221655 37.7714743)"
"2020-039b","1023 3rd St (Mission Rock Parcel A)","1023 3rd St","94158","6","Mission Bay","South of Market","Mission Bay","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program","Mission Rock","2023-06-15T00:00:00.000","130","74","0","8","38","23","5","0","0","0","0","0","0","0","0","37.77562336","-122.389753","POINT (-122.389753 37.77562336)"
"1992-014","1028 Howard","1028 Howard St","94103","6","South of Market","South of Market","South of Market","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1994-06-10T00:00:00.000","31","30","0","0","5","11","14","0","0","0","0","0","0","0","0","37.7794692","-122.4079205","POINT (-122.4079205 37.7794692)"
"2017-009","1028 Market Street","1028 Market St","94102","5","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2022-05-05T00:00:00.000","26","26","0","13","6","7","0","0","0","0","0","0","0","0","0","37.78188348","-122.4113218","POINT (-122.4113218 37.78188348)"
"1986-002","1030 Bush","1030 Bush St","94109","3","Nob Hill","Nob Hill","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"1988-03-18T00:00:00.000","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","37.78969149","-122.414316","POINT (-122.414316 37.78969149)"
"2006-001","1036 Mission","1036 Mission St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2018-10-12T00:00:00.000","83","83","0","0","38","38","7","0","0","0","0","0","40","0","0","37.78044083","-122.4096458","POINT (-122.4096458 37.78044083)"
"2017-039","1064 Mission","1064-1068 Mission St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2022-12-20T00:00:00.000","256","256","0","256","0","0","0","0","0","0","0","0","256","256","0","37.78026776","-122.4098659","POINT (-122.4098659 37.78026776)"
"1995-003","1099 Mississippi","1099 Mississippi St","94107","10","Potrero Hill","Potrero Hill","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"1998-07-20T00:00:00.000","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","37.75272699","-122.3933278","POINT (-122.3933278 37.75272699)"
"2004-024","10th & Mission Family Housing","1390 Mission St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2011-10-06T00:00:00.000","137","136","0","0","34","42","60","0","0","0","0","0","44","44","0","37.77562492","-122.4158404","POINT (-122.4158404 37.77562492)"
"2009-001","1100 Ocean","1100 Ocean Ave","94112","7","West of Twin Peaks","West of Twin Peaks","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2015-02-23T00:00:00.000","72","71","0","18","18","21","14","0","0","0","0","0","25","25","0","37.72350704","-122.4535801","POINT (-122.4535801 37.72350704)"
"1982-015","1101-03 Lake","103 12th Ave","94118","1","Inner Richmond","Inner Richmond","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"1982-03-12T00:00:00.000","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","37.78616854","-122.4712832","POINT (-122.4712832 37.78616854)"
"2012-019a","1101 Connecticut","1101 Connecticut St","94107","10","Bayview Hunters Point","Potrero Hill","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","HOPE SF","Potrero HOPE SF","2019-10-28T00:00:00.000","72","72","0","2","10","51","9","0","0","0","0","0","0","0","0","37.75218059","-122.3963238","POINT (-122.3963238 37.75218059)"
"1991-010","1101 Howard","1101 Howard St","94103","6","South of Market","South of Market","Not in an OCII Project Area","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1995-02-02T00:00:00.000","35","34","0","0","6","14","14","0","0","0","0","0","0","0","0","37.77761646","-122.4093893","POINT (-122.4093893 37.77761646)"
"2016-001","111 Jones Street Apartments","111 Jones St","94102","5","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1993-09-30T00:00:00.000","108","108","0","8","64","16","20","0","0","0","0","0","0","0","0","37.78217271","-122.4123888","POINT (-122.4123888 37.78217271)"
"2023-019","1130 Filbert","1130 Filbert St","94109","3","Russian Hill","Russian Hill","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"2023-06-20T00:00:00.000","4","4","0","0","1","3","0","0","0","0","0","0","0","0","0","37.80048875","-122.4181652","POINT (-122.4181652 37.80048875)"
"1992-003","1130 Mariposa","1130 Mariposa St","94107","10","Potrero Hill","Potrero Hill","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"1999-03-23T00:00:00.000","2","2","0","0","2","0","0","0","0","0","0","0","0","0","0","37.76416281","-122.3952956","POINT (-122.3952956 37.76416281)"
"2021-021","1140-1142 Florida","1140-1142 Florida St","94110","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Cooperative Living for Mental Health",,"2024-08-06T00:00:00.000","2","2","0","0","0","0","0","2","0","0","0","0","0","0","0","37.75363016","-122.4104247","POINT (-122.4104247 37.75363016)"
"1978-002","1145-1155 Filbert","1145-1155 Filbert St","94109","3","Russian Hill","Russian Hill","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"2010-04-21T00:00:00.000","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","37.79998025","-122.4182867","POINT (-122.4182867 37.79998025)"
"1983-017","1145 Pine","1145 Pine St","94109","3","Nob Hill","Nob Hill","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"1995-08-22T00:00:00.000","20","4","0","1","3","0","0","0","0","0","0","0","0","0","0","37.7900748","-122.4147184","POINT (-122.4147184 37.7900748)"
"2005-016","1158 Sutter","1158 Sutter St","94109","3","Nob Hill","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2008-06-25T00:00:00.000","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","37.78798854","-122.4195631","POINT (-122.4195631 37.78798854)"
"2008-002","1180 4th","1180 4th St","94158","6","Mission Bay","South of Market","Mission Bay","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2015-04-02T00:00:00.000","151","150","0","0","42","54","54","0","0","0","0","0","47","50","12","37.77354081","-122.3920231","POINT (-122.3920231 37.77354081)"
"1998-001","118 Wood","118 Wood St","94103","2","Lone Mountain/USF","Inner Richmond","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"1999-08-30T00:00:00.000","2","2","0","0","1","1","0","0","0","0","0","0","0","0","0","37.78209813","-122.4486516","POINT (-122.4486516 37.78209813)"
"2015-039","1198 Valencia","1188 Valencia St","94110","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2018-03-08T00:00:00.000","6","6","0","1","2","3","0","0","0","0","0","0","0","0","0","37.75382733","-122.4209839","POINT (-122.4209839 37.75382733)"
"1982-016","1200 Gough","1200 Gough St","94109","2","Western Addition","Western Addition","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"2006-08-23T00:00:00.000","7","2","0","1","1","0","0","0","0","0","0","0","0","0","0","37.78477759","-122.4241171","POINT (-122.4241171 37.78477759)"
"2017-052","1201 Powell Street","1201 Powell St","94133","3","Chinatown","Nob Hill","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"2022-10-03T00:00:00.000","18","17","0","13","4","0","0","0","0","0","0","0","0","0","0","37.79571313","-122.4101253","POINT (-122.4101253 37.79571313)"
"1979-001","1220 La Playa","1220 La Playa St","94122","4","Sunset/Parkside","Outer Sunset","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"1979-04-12T00:00:00.000","24","23","0","0","11","12","0","0","0","0","0","0","0","0","0","37.76350404","-122.5090301","POINT (-122.5090301 37.76350404)"
"2002-003","1234 Howard","1234 Howard St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2007-10-04T00:00:00.000","2","2","0","1","1","0","0","0","0","0","0","0","0","0","0","37.77587964","-122.4123611","POINT (-122.4123611 37.77587964)"
"1978-001","1242 Sacramento","1242 Sacramento St","94109","3","Nob Hill","Nob Hill","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"1989-09-05T00:00:00.000","14","1","0","0","1","0","0","0","0","0","0","0","0","0","0","37.79269814","-122.4133533","POINT (-122.4133533 37.79269814)"
"1983-003","125-135 Gardenside","125-135 Gardenside Dr","94131","8","Twin Peaks","Twin Peaks","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"1983-05-13T00:00:00.000","6","6","0","3","3","0","0","0","0","0","0","0","0","0","0","37.75364569","-122.4453449","POINT (-122.4453449 37.75364569)"
"2006-027","125 Mason","125 Mason St","94102","5","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Rental","Building Rehabilitation (Pre-Construction)","Rehabilitation","Inclusionary Housing","Bond Financed Inclusionary Housing",,"2008-11-18T00:00:00.000","83","80","0","0","22","33","20","5","0","0","0","0","0","0","0","37.78476749","-122.4095369","POINT (-122.4095369 37.78476749)"
"2017-010","1298 Howard","1298 Howard St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2022-09-14T00:00:00.000","17","17","0","4","6","7","0","0","0","0","0","0","0","0","0","37.77558409","-122.4130216","POINT (-122.4130216 37.77558409)"
"1996-001","1301 San Jose","368 Bosworth St","94112","8","Outer Mission","Bernal Heights","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2003-01-01T00:00:00.000","3","3","0","0","0","0","0","3","0","0","0","0","0","0","0","37.73351115","-122.4298975","POINT (-122.4298975 37.73351115)"
"2000-006","1311 43rd","1311 43rd Ave","94122","4","Sunset/Parkside","Outer Sunset","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2001-08-16T00:00:00.000","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","37.76213355","-122.5031018","POINT (-122.5031018 37.76213355)"
"1985-008","1335 Filbert","1335 Filbert St","94109","3","Russian Hill","Russian Hill","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"2017-01-04T00:00:00.000","5","2","0","1","1","0","0","0","0","0","0","0","0","0","0","37.79954449","-122.4215058","POINT (-122.4215058 37.79954449)"
"2013-063","1335 Folsom Street","1335 Folsom St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2018-10-10T00:00:00.000","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","37.77318439","-122.4119083","POINT (-122.4119083 37.77318439)"
"2000-015","1340 Portola","1340 Portola Dr","94127","7","West of Twin Peaks","West of Twin Peaks","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1990-03-20T00:00:00.000","6","6","0","0","0","0","0","0","0","6","0","0","0","0","0","37.74011231","-122.464646","POINT (-122.464646 37.74011231)"
"2015-015","1353-1357 Folsom","1353-1357 Folsom St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"2018-02-05T00:00:00.000","3","3","0","0","0","1","1","0","1","0","0","0","0","0","0","37.77299153","-122.4121502","POINT (-122.4121502 37.77299153)"
"2020-022","1353 Stevenson","1353-1357A Stevenson St","94103","6","Mission","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"2019-11-14T00:00:00.000","7","7","0","0","1","6","0","0","0","0","0","0","0","0","0","37.77071315","-122.4214553","POINT (-122.4214553 37.77071315)"
"2008-024","1355 Pacific","1355 Pacifc Ave","94109","3","Russian Hill","Nob Hill","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2010-05-11T00:00:00.000","2","2","0","0","1","1","0","0","0","0","0","0","0","0","0","37.79542039","-122.4175472","POINT (-122.4175472 37.79542039)"
"1984-021","1360 Montgomery","1360 Montgomery St","94133","3","North Beach","North Beach","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"1993-03-23T00:00:00.000","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","37.8017978","-122.4043154","POINT (-122.4043154 37.8017978)"
"1984-022","136A Belvedere","136 A Belvedere St","94117","8","Haight Ashbury","Haight Ashbury","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,,"1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","37.7680145","-122.4489739","POINT (-122.4489739 37.7680145)"
"1993-004","1370 California Street Apartments","1370 California St","94109","3","Nob Hill","Nob Hill","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2019-04-25T00:00:00.000","50","49","0","25","22","1","1","0","0","0","0","0","0","0","0","37.79137699","-122.4170542","POINT (-122.4170542 37.79137699)"
"2020-021","1382 30th Ave","1382 30th Ave","94122","4","Sunset/Parkside","Outer Sunset","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"2018-12-13T00:00:00.000","4","4","0","0","4","0","0","0","0","0","0","0","0","0","0","37.76153108","-122.4885739","POINT (-122.4885739 37.76153108)"
"2021-013","139 Dore","139 Dore St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Cooperative Living for Mental Health",,"1989-12-05T00:00:00.000","6","6","0","0","0","0","6","0","0","0","0","0","0","0","0","37.77298202","-122.4115292","POINT (-122.4115292 37.77298202)"
"2013-059a","1400 Mission-Ownership","1400 Mission St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program","1400 Mission","2015-12-22T00:00:00.000","167","167","0","4","53","93","17","0","0","0","0","0","0","0","0","37.77524798","-122.4162475","POINT (-122.4162475 37.77524798)"
"2013-059b","1400 Mission-Rental","1400 Mission St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program","1400 Mission","2015-12-22T00:00:00.000","23","23","0","1","13","8","1","0","0","0","0","0","0","0","0","37.77524798","-122.4162474","POINT (-122.4162474 37.77524798)"
"1999-005","140 South Van Ness / 1655 Mission","140 South Van Ness Ave","94103","6","Mission","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2003-01-28T00:00:00.000","23","23","0","4","11","8","0","0","0","0","0","0","0","0","0","37.77171314","-122.4185036","POINT (-122.4185036 37.77171314)"
"2017-013","1411 Florida Street","1411 Florida St","94110","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"2019-10-02T00:00:00.000","7","7","0","0","0","7","0","0","0","0","0","0","0","0","0","37.74921335","-122.409531","POINT (-122.409531 37.74921335)"
"1998-026b","1415 Indiana-Ownership","1415 Indiana St","94107","10","Bayview Hunters Point","Potrero Hill","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program","1415 Indiana","2000-10-02T00:00:00.000","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","37.75236004","-122.3901626","POINT (-122.3901626 37.75236004)"
"1998-026a","1415 Indiana-Rental","1415 Indiana St","94107","10","Bayview Hunters Point","Potrero Hill","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program","1415 Indiana","2000-10-02T00:00:00.000","2","2","0","0","2","0","0","0","0","0","0","0","0","0","0","37.75236004","-122.3901625","POINT (-122.3901625 37.75236004)"
"2014-015","1433 Bush Street","1433 Bush St","94109","3","Nob Hill","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2019-09-18T00:00:00.000","6","6","0","2","2","0","2","0","0","0","0","0","0","0","0","37.78850633","-122.420948","POINT (-122.420948 37.78850633)"
"1981-008","1441-1447 Page","1447 Page St","94117","5","Haight Ashbury","Haight Ashbury","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"1981-07-24T00:00:00.000","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","37.77098558","-122.4445042","POINT (-122.4445042 37.77098558)"
"1982-013","1441 Jones","1441 Jones St","94109","3","Nob Hill","Nob Hill","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"2017-12-14T00:00:00.000","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","37.79456395","-122.4150933","POINT (-122.4150933 37.79456395)"
"2013-010","1450 Franklin","1450 Franklin St","94109","2","Western Addition","Western Addition","Western Addition-Area 2","OCII","Ownership","Construction Complete","New Construction","Other Ownership Programs","Limited Equity Program",,"2017-04-04T00:00:00.000","9","9","0","1","4","4","0","0","0","0","0","0","0","0","0","37.78805629","-122.4232425","POINT (-122.4232425 37.78805629)"
"2015-032","145 Leavenworth","145 Leavenworth St","94102","5","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2023-05-16T00:00:00.000","12","12","0","12","0","0","0","0","0","0","0","0","0","0","0","37.78238286","-122.4141563","POINT (-122.4141563 37.78238286)"
"2015-044","1463 Lombard","1463 Lombard St","94123","2","Marina","Marina","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2018-07-26T00:00:00.000","3","3","0","0","3","0","0","0","0","0","0","0","0","0","0","37.80100409","-122.4255727","POINT (-122.4255727 37.80100409)"
"2015-033b","1491 Sunnydale Avenue (Casala aka Parcel Q)","1491 Sunnydale Ave","94134","10","Visitacion Valley","Visitacion Valley","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","HOPE SF","Sunnydale HOPE SF","2020-02-20T00:00:00.000","54","54","0","3","19","18","14","0","0","0","0","0","0","0","0","37.71163875","-122.4158537","POINT (-122.4158537 37.71163875)"
"2005-034","149 Mason Street Apartments","149 Mason St","94102","5","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2009-12-23T00:00:00.000","56","56","0","56","0","0","0","0","0","0","0","0","56","56","0","37.78503884","-122.4095822","POINT (-122.4095822 37.78503884)"
"2016-025","1500 Cortland","1500 Cortland Ave","94110","9","Bernal Heights","Bernal Heights","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"2017-10-19T00:00:00.000","4","4","0","0","2","2","0","0","0","0","0","0","0","0","0","37.73960825","-122.409305","POINT (-122.409305 37.73960825)"
"2015-009","150 Van Ness Apartments","150 Van Ness Ave","94102","6","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2018-09-27T00:00:00.000","50","50","0","3","27","18","2","0","0","0","0","0","0","0","0","37.77726266","-122.4189169","POINT (-122.4189169 37.77726266)"
"2014-026","151 Duboce","149-151 Duboce Ave","94103","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"2001-11-14T00:00:00.000","4","4","0","0","4","0","0","0","0","0","0","0","0","0","0","37.76956794","-122.423447","POINT (-122.423447 37.76956794)"
"2019-010","1535 Jackson","1535 Jackson St","94109","3","Russian Hill","Nob Hill","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"2021-10-14T00:00:00.000","10","10","10","0","0","0","0","0","0","0","0","0","0","0","0","37.79399945","-122.4203511","POINT (-122.4203511 37.79399945)"
"2014-019","1550 Mission","1550 Mission St","94103","6","Mission","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Bond Financed Inclusionary Housing",,"2021-12-08T00:00:00.000","110","110","0","40","29","39","2","0","0","0","0","0","0","0","0","37.77422142","-122.4174806","POINT (-122.4174806 37.77422142)"
"1981-010","1571 Clay","1571 Clay St","94109","3","Nob Hill","Nob Hill","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"1981-09-24T00:00:00.000","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","37.79246586","-122.4187622","POINT (-122.4187622 37.79246586)"
"1998-007","1578 Indiana","1578 Indiana St","94107","10","Bayview Hunters Point","Potrero Hill","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2003-12-01T00:00:00.000","2","2","0","0","2","0","0","0","0","0","0","0","0","0","0","37.75034246","-122.3907606","POINT (-122.3907606 37.75034246)"
"2004-023","1587 15th","1587 15th St","94103","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2007-03-07T00:00:00.000","3","3","0","0","0","3","0","0","0","0","0","0","0","0","0","37.76658512","-122.4195644","POINT (-122.4195644 37.76658512)"
"2005-005","1598 Dolores","1598 Dolores St","94110","8","Noe Valley","Noe Valley","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2004-08-27T00:00:00.000","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","37.74394444","-122.424655","POINT (-122.424655 37.74394444)"
"2011-022","1600 Market","31 Page St","94102","6","Hayes Valley","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program","1600 Market","2014-03-14T00:00:00.000","23","23","0","0","11","12","0","0","0","0","0","0","0","0","0","37.7741307","-122.4209143","POINT (-122.4209143 37.7741307)"
"2002-024","1600 Webster Street","1600 Webster St","94115","5","Japantown","Western Addition","Western Addition-Area 2","SFRA","Ownership","Construction Complete","New Construction","Other Ownership Programs","Limited Equity Program",,"2005-12-01T00:00:00.000","2","2","0","0","1","1","0","0","0","0","0","0","0","0","0","37.78559239","-122.4311447","POINT (-122.4311447 37.78559239)"
